name,medianPayDiff,section,clean_name,highlight
SSP LIMITED,20,Information and communication,Ssp,
St Andrew's Healthcare,-5.2,Human health and social work activities,St Andrew's Healthcare,
St Barnabas Hospice Trust (Lincolnshire),-1,Human health and social work activities,St Barnabas Hospice Trust (lincolnshire),
St Barnabas Hospices (Sussex) Ltd,-2.7,Human health and social work activities,St Barnabas Hospices (sussex),
St Bartholomew's School,19.9,Public Sector,St Bartholomew's School,
St Bede's and St Joseph's Catholic College,35.7,Public Sector,St Bede's And St Joseph's Catholic College,
ST BENEDICT'S SCHOOL EALING,27.7,Education,St Benedict's School Ealing,
St Brendan's Sixth Form College,24,Public Sector,St Brendan's Sixth Form College,
St Brendan's Sixth Form College,24,Education,St Brendan's Sixth Form College,
ST CUTHBERT'S CARE,-0.5,Human health and social work activities,St Cuthbert's Care,
ST Edmundsbury Borough Council,-7.7,Public Sector,St Edmundsbury Borough Council,
ST Edmundsbury Borough Council,-7.7,Public administration and defence; compulsory social security,St Edmundsbury Borough Council,
St Francis Of Assisi Academies Trust,7,Public Sector,St Francis Of Assisi Academies Trust,
St Francis Of Assisi Academies Trust,7,Education,St Francis Of Assisi Academies Trust,
St Gilbert Of Sempringham Catholic Academy Trust,21.4,Public Sector,St Gilbert Of Sempringham Catholic Academy Trust,
St Gilbert Of Sempringham Catholic Academy Trust,21.4,Education,St Gilbert Of Sempringham Catholic Academy Trust,
St Helen's Metropolitan Borough Council,6.9,Public Sector,St Helen's Metropolitan Borough Council,
St Helen's Metropolitan Borough Council,6.9,Public administration and defence; compulsory social security,St Helen's Metropolitan Borough Council,
ST HILDA’S CATHOLIC ACADEMY TRUST,42.9,Public Sector,St Hilda’s Catholic Academy Trust,
ST HILDA’S CATHOLIC ACADEMY TRUST,42.9,Education,St Hilda’s Catholic Academy Trust,
St Ivo School,26,Public Sector,St Ivo School,
St Ivo School,26,Education,St Ivo School,
St John's School & College,1,Public Sector,St John's School & College,
St John's School & College,1,Education,St John's School & College,
ST LEGER HOMES OF DONCASTER LIMITED,7.6,Real estate activities,St Leger Homes Of Doncaster,
"St Mary's University, Twickenham",20.9,Public Sector,"St Mary's University, Twickenham",
"St Mary's University, Twickenham",20.9,Education,"St Mary's University, Twickenham",
ST MATTHEWS HOLDINGS LIMITED,0,Financial and insurance activities,St Matthews Holdings,
ST MUNGO COMMUNITY HOUSING ASSOCIATION,0.1,Accommodation and food service activities,St Mungo Community Housing Association,
ST MUNGO COMMUNITY HOUSING ASSOCIATION,0.1,Real estate activities,St Mungo Community Housing Association,
ST MUNGO COMMUNITY HOUSING ASSOCIATION,0.1,Human health and social work activities,St Mungo Community Housing Association,
St Peter's Hospice,-2.9,Education,St Peter's Hospice,
St Peter's Hospice,-2.9,Human health and social work activities,St Peter's Hospice,
ST PHILIPS CARE CALEDONIA LIMITED,0.6,Human health and social work activities,St Philips Care Caledonia,
St. Albans City Council,6.8,Public Sector,St. Albans City Council,
St. Albans City Council,6.8,Public administration and defence; compulsory social security,St. Albans City Council,
ST. ANDREWS BAY DEVELOPMENT LTD.,3.4,Accommodation and food service activities,St. Andrews Bay Development .,
ST. ANN'S HOSPICE,-5.4,Human health and social work activities,St. Ann's Hospice,
St. Elizabeth Hospice (Suffolk),-1.5,Human health and social work activities,St. Elizabeth Hospice (suffolk),
ST. LUKE'S HOSPICE PLYMOUTH,-10,Human health and social work activities,St. Luke's Hospice Plymouth,
St.Christophers Fellowship,-1,Human health and social work activities,St.christophers Fellowship,
St.Helen's School Northwood,4.9,Education,St.helen's School Northwood,
Staff Select Ltd,2.2,Education,Staff Select,
STAFFLINE RECRUITMENT LIMITED,3.7,Administrative and support service activities,Staffline Recruitment,
Staffordshire Fire & Rescue Services,5.3,Public Sector,Staffordshire Fire & Rescue Services,
Staffordshire University,15,Public Sector,Staffordshire University,
STAN ROBINSON (STAFFORD) LIMITED,-13.6,Transportation and storage,Stan Robinson (stafford),
Standard Chartered Bank,31.4,Financial and insurance activities,Standard Chartered Bank,
Standard Chartered PLC,31.4,Financial and insurance activities,Standard Chartered,
STANDARD LIFE EMPLOYEE SERVICES LIMITED,29,Administrative and support service activities,Standard Life Employee Services,
STANDARD LIFE INVESTMENTS LIMITED,37,"Professional, scientific and technical activities",Standard Life Investments,
STANSTED AIRPORT LIMITED,7.9,Transportation and storage,Stansted Airport,
STAPLETON'S (TYRE SERVICES) LIMITED,-24.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Stapleton's (tyre Services),
STEALTHWAVE LIMITED,0,Administrative and support service activities,Stealthwave,
STEAMER TRADING LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Steamer Trading,
STELRAD LIMITED,19.2,Manufacturing,Stelrad,
Step Academy Trust,40,Public Sector,Step Academy Trust,
Step Academy Trust,40,Education,Step Academy Trust,
STEPHEN JAMES (AUTOMOTIVE) LIMITED,17,Wholesale and retail trade; repair of motor vehicles and motorcycles,Stephen James (automotive),
STEPHENSON HARWOOD SERVICES LIMITED,39.8,"Professional, scientific and technical activities",Stephenson Harwood Services,
STEPNELL LIMITED,34.6,Construction,Stepnell,
STOCK BROOK MANOR (GOLF CLUB) LIMITED,0,"Arts, entertainment and recreation",Stock Brook Manor (golf Club),
Stockport Metropolitan Borough Council,1.8,Public Sector,Stockport Metropolitan Borough Council,
Stockport Metropolitan Borough Council,1.8,Public administration and defence; compulsory social security,Stockport Metropolitan Borough Council,
Stockton-On-Tees Borough Council,12.6,Public Sector,Stockton-on-tees Borough Council,
Stockton-On-Tees Borough Council,12.6,Public administration and defence; compulsory social security,Stockton-on-tees Borough Council,
STOCKVALE INVESTMENTS LIMITED,0,Financial and insurance activities,Stockvale Investments,
Stratford-On-Avon District Council,26.2,Public Sector,Stratford-on-avon District Council,
Stratford-On-Avon District Council,26.2,Public administration and defence; compulsory social security,Stratford-on-avon District Council,
STRATHCARRON HOSPICE,-5.6,Human health and social work activities,Strathcarron Hospice,
STRATHCARRON HOSPICE RETAIL LIMITED,-5.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Strathcarron Hospice Retail,
STREVENS VEHICLES HOLDINGS LIMITED,21.1,"Professional, scientific and technical activities",Strevens Vehicles Holdings,
Stroud District Council,17.2,Public Sector,Stroud District Council,
Stroud District Council,17.2,Public administration and defence; compulsory social security,Stroud District Council,
Style Acre,0,Human health and social work activities,Style Acre,
Styles & Brown Ltd,5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Styles & Brown,
SUBSEA 7 (UK SERVICE COMPANY) LIMITED,39.8,Administrative and support service activities,Subsea 7 (uk Service Company),
Suffolk Coastal District Council and Waveney District Counci,18.5,Public Sector,Suffolk Coastal District Council And Waveney District Counci,
Suffolk Coastal District Council and Waveney District Counci,18.5,Public administration and defence; compulsory social security,Suffolk Coastal District Council And Waveney District Counci,
SUFFOLK LIFE PENSIONS LIMITED,11.9,Financial and insurance activities,Suffolk Life Pensions,
SUMMIT RECRUITMENT LIMITED,0,Administrative and support service activities,Summit Recruitment,
SUMMIT RESTAURANTS LIMITED,0,Accommodation and food service activities,Summit Restaurants,
SUN CHEMICAL LIMITED,21.3,Administrative and support service activities,Sun Chemical,
SUN HEALTHCARE LIMITED,6.2,Human health and social work activities,Sun Healthcare,
SURFACE TECHNOLOGY INTERNATIONAL LIMITED,11.7,Manufacturing,Surface Technology International,
Surrey Heath Borough Council,12.4,Public Sector,Surrey Heath Borough Council,
Surrey Heath Borough Council,12.4,Public administration and defence; compulsory social security,Surrey Heath Borough Council,
SURREY SATELLITE TECHNOLOGY LIMITED,16.5,Manufacturing,Surrey Satellite Technology,
SURREY SATELLITE TECHNOLOGY LIMITED,16.5,"Professional, scientific and technical activities",Surrey Satellite Technology,
Sussex Coast College,14.8,Public Sector,Sussex Coast College,
Sussex Coast College,14.8,Education,Sussex Coast College,
SUSTRANS LIMITED,6,"Professional, scientific and technical activities",Sustrans,
Swale Borough Council,21,Public Sector,Swale Borough Council,
Swale Borough Council,21,Public administration and defence; compulsory social security,Swale Borough Council,
SWALE HEATING LIMITED,39.2,Construction,Swale Heating,
Swallowfield PLC,5.2,Manufacturing,Swallowfield,
SWANN-MORTON LIMITED,33.3,Manufacturing,Swann-morton,
Swansea University Students' Union,-0.1,Other service activities,Swansea University Students' Union,
SWANTON CARE & COMMUNITY LIMITED,0.1,Human health and social work activities,Swanton Care & Community,
SWECO SERVICES UK LIMITED,25.6,"Professional, scientific and technical activities",Sweco Services Uk,
SWEET DREAMS (NELSON) LIMITED,-4.7,Manufacturing,Sweet Dreams (nelson),
SWIFT GROUP LIMITED,27.6,Manufacturing,Swift Group,
Swift Office Cleaning Services Ltd,0,Administrative and support service activities,Swift Office Cleaning Services,
Swindon Borough Council,4.3,Public Sector,Swindon Borough Council,
Sydenhams Ltd,9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sydenhams,
SYKES COTTAGES LTD,38.1,Administrative and support service activities,Sykes Cottages,
Symphony Learning Trust,37.2,Public Sector,Symphony Learning Trust,
Symphony Learning Trust,37.2,Education,Symphony Learning Trust,
Syncreon Automotive (UK) Ltd.,0,Manufacturing,Syncreon Automotive,
Syncreon Technology (UK) Ltd,5,Transportation and storage,Syncreon Technology,
SYNERGY HEALTH MANAGED SERVICES LIMITED,6.4,Human health and social work activities,Synergy Health Managed Services,
SYNGENTA LIMITED,8.7,"Professional, scientific and technical activities",Syngenta,
SYNTEL EUROPE LIMITED,4.9,Information and communication,Syntel Europe,
T BROWN GROUP LIMITED,24.7,Construction,T Brown Group,
T. QUALITY LIMITED,9.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,T. Quality,
T.H.CLEMENTS & SON LIMITED,3.1,"Agriculture, Forestry and Fishing",T.h.clements & Son,
T.R. FASTENINGS LIMITED,-2.2,Manufacturing,T.r. Fastenings,
TACTICAL SHOOTING SPORTS CLUB COMMUNITY INTEREST COMPANY,6.5,"Arts, entertainment and recreation",Tactical Shooting Sports Club Community Interest Company,
TALKTALK GROUP LIMITED,14.1,Information and communication,Talktalk Group,
Tandridge District Council,14.7,Public Sector,Tandridge District Council,
TATA CHEMICALS EUROPE LIMITED,1,Manufacturing,Tata Chemicals Europe,
TAYLOR WESSING SERVICES LIMITED,32.8,Administrative and support service activities,Taylor Wessing Services,
TAYSIDE PUBLIC TRANSPORT COMPANY LIMITED,4,Transportation and storage,Tayside Public Transport Company,
TDK-LAMBDA UK LIMITED,19,Manufacturing,Tdk-lambda Uk,
TEEKAY PETROJARL UK LIMITED,17.6,Mining and Quarrying,Teekay Petrojarl Uk,
Teignbridge District Council,-7.5,Public Sector,Teignbridge District Council,
Teignbridge District Council,-7.5,Public administration and defence; compulsory social security,Teignbridge District Council,
TELEFONICA UK LIMITED,20.2,Information and communication,Telefonica Uk,
TEMCOUK FACILITY SERVICES LIMITED,3,Administrative and support service activities,Temcouk Facility Services,
Tendring District Council,-13.6,Public Sector,Tendring District Council,
Tendring District Council,-13.6,Public administration and defence; compulsory social security,Tendring District Council,
TENET GROUP LIMITED,32,Financial and insurance activities,Tenet Group,
TENNECO-WALKER(U.K.)LIMITED,-2.3,Manufacturing,Tenneco-walker,
TENNECO-WALKER(U.K.)LIMITED,-2.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tenneco-walker,
TENPIN LIMITED,2.7,"Arts, entertainment and recreation",Tenpin,
TES GLOBAL LIMITED,20.8,Information and communication,Tes Global,
TESCO FAMILY DINING LIMITED,0,Accommodation and food service activities,Tesco Family Dining,
TESCO MAINTENANCE LIMITED,-30.1,Other service activities,Tesco Maintenance,
Tesco Personal Finance PLC,14.6,Financial and insurance activities,Tesco Personal Finance,
TESCO STORES LIMITED,8.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tesco Stores,
TESGL LIMITED,45.5,Construction,Tesgl,
Test Valley Borough Council,-10.4,Public Sector,Test Valley Borough Council,
Test Valley Borough Council,-10.4,Public administration and defence; compulsory social security,Test Valley Borough Council,
TESTERWORLD LIMITED,-32.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Testerworld,
TEVA UK LIMITED,8,Manufacturing,Teva Uk,
TGA INDUSTRIES LIMITED,14.7,Manufacturing,Tga Industries,
TGA INDUSTRIES LIMITED,14.7,"Professional, scientific and technical activities",Tga Industries,
Thame Partnership Academy Trust,42.5,Public Sector,Thame Partnership Academy Trust,
Thame Partnership Academy Trust,42.5,Education,Thame Partnership Academy Trust,
THAMES WATER UTILITIES LIMITED,15.4,"Water supply, sewerage, waste management and remediation activities",Thames Water Utilities,
Thanet District Council,5.8,Public Sector,Thanet District Council,
Thanet District Council,5.8,Public administration and defence; compulsory social security,Thanet District Council,
The Action Group,7,Human health and social work activities,The Action Group,
THE ACTIVE LEARNING TRUST LIMITED,29.4,Education,The Active Learning Trust,
THE ALAN NUTTALL PARTNERSHIP LIMITED,0.4,Manufacturing,The Alan Nuttall Partnership,
THE ALDINGBOURNE TRUST,-2,"Agriculture, Forestry and Fishing",The Aldingbourne Trust,
THE ALDINGBOURNE TRUST,-2,Human health and social work activities,The Aldingbourne Trust,
The Aquinas Catholic Academy Trust,33.3,Public Sector,The Aquinas Catholic Academy Trust,
The Aquinas Catholic Academy Trust,33.3,Education,The Aquinas Catholic Academy Trust,
The Athelstan Trust,43.2,Public Sector,The Athelstan Trust,
The Athelstan Trust,43.2,Education,The Athelstan Trust,
THE AUTOMATED TECHNOLOGY GROUP LIMITED,17.8,Manufacturing,The Automated Technology Group,
THE BARTRUM GROUP LIMITED,0,"Professional, scientific and technical activities",The Bartrum Group,
"The Bedfordshire, Northamptonshire, Cambridgeshire And Hertfordshire Community Rehabilitation Co. Lt",3.9,Public administration and defence; compulsory social security,"The Bedfordshire, Northamptonshire, Cambridgeshire And Hertfordshire Community Rehabilitation Co. Lt",
THE BEST CONNECTION GROUP LIMITED,2.1,Administrative and support service activities,The Best Connection Group,
The Big Life Co. Ltd.,14.3,Human health and social work activities,The Big Life Co.,
THE BOARD OF THE PENSION PROTECTION FUND,20.4,Public Sector,The Board Of The Pension Protection Fund,
"The Bristol, Gloucestershire, Somerset And Wiltshire Community Rehabilitation Co. Ltd.",1,Public administration and defence; compulsory social security,"The Bristol, Gloucestershire, Somerset And Wiltshire Community Rehabilitation Co.",
The British Library,1.8,Public Sector,The British Library,
The British Library,1.8,"Arts, entertainment and recreation",The British Library,
The British Museum,-4,Public Sector,The British Museum,
The Brooke Weston Trust,31.5,Public Sector,The Brooke Weston Trust,
The Brooke Weston Trust,31.5,Education,The Brooke Weston Trust,
THE CELTIC MANOR RESORT LIMITED,8.3,Accommodation and food service activities,The Celtic Manor Resort,
The Challenger Multi Academy Trust,8.3,Public Sector,The Challenger Multi Academy Trust,
The Challenger Multi Academy Trust,8.3,Administrative and support service activities,The Challenger Multi Academy Trust,
THE CHILDCARE CORPORATION LIMITED,4.8,Human health and social work activities,The Childcare Corporation,
THE CHILTERN RAILWAY COMPANY LIMITED,31,Transportation and storage,The Chiltern Railway Company,
THE CHURCH OF ENGLAND CHILDREN'S SOCIETY,20.8,Human health and social work activities,The Church Of England Children's Society,
THE CLAIMS GUYS LIMITED,-3.9,Administrative and support service activities,The Claims Guys,
The Co-Operative Academies Trust,13.7,Public Sector,The Co-operative Academies Trust,
The Co-Operative Academies Trust,13.7,Education,The Co-operative Academies Trust,
The Co-Operative Bank PLC,22.6,Financial and insurance activities,The Co-operative Bank,
The College of West Anglia,19.2,Public Sector,The College Of West Anglia,
The College of West Anglia,19.2,Education,The College Of West Anglia,
The Collegiate Academy Trust,34.8,Public Sector,The Collegiate Academy Trust,
The Collegiate Academy Trust,34.8,Education,The Collegiate Academy Trust,
The Commission for Equality and Human Rights,-8.2,Public Sector,The Commission For Equality And Human Rights,
The Crown Estate Commissioners,-31,Public Sector,The Crown Estate Commissioners,
The Cumbria And Lancashire Community Rehabilitation Co. Ltd.,3.9,Public administration and defence; compulsory social security,The Cumbria And Lancashire Community Rehabilitation Co.,
THE DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL SERVICES,4.9,Administrative and support service activities,The Daughters Of Charity Of St. Vincent De Paul Services,
The David Lewis Centre,-2,Education,The David Lewis Centre,
The David Lewis Centre,-2,Human health and social work activities,The David Lewis Centre,
The Diocese of Gloucester Academies Trust,50,Education,The Diocese Of Gloucester Academies Trust,
The Diocese Of Norwich Education And Academies Trust,42.3,Public Sector,The Diocese Of Norwich Education And Academies Trust,
The Diocese Of Norwich Education And Academies Trust,42.3,Education,The Diocese Of Norwich Education And Academies Trust,
THE DISABILITIES TRUST,-1.2,Human health and social work activities,The Disabilities Trust,
The Donaldson Trust,-15,Public Sector,The Donaldson Trust,
"The Dorset, Devon And Cornwall Community Rehabilitation Co. Ltd.",7.6,Public administration and defence; compulsory social security,"The Dorset, Devon And Cornwall Community Rehabilitation Co.",
The Eden Academy,6.8,Public Sector,The Eden Academy,
The Eden Academy,6.8,Education,The Eden Academy,
THE EDRINGTON GROUP LIMITED,9.8,Manufacturing,The Edrington Group,
The Education Village Academy Trust,13.1,Public Sector,The Education Village Academy Trust,
The Education Village Academy Trust,13.1,Education,The Education Village Academy Trust,
The Engage Multi Academy Trust,0,Public Sector,The Engage Multi Academy Trust,
The Engage Multi Academy Trust,0,Education,The Engage Multi Academy Trust,
THE ENGLISH INSTITUTE OF SPORT LIMITED,11.4,"Arts, entertainment and recreation",The English Institute Of Sport,
The Extracare Charitable Trust,18,Real estate activities,The Extracare Charitable Trust,
The Extracare Charitable Trust,18,Human health and social work activities,The Extracare Charitable Trust,
The Financial Conduct Authority,20.9,Public Sector,The Financial Conduct Authority,
The Financial Conduct Authority,20.9,Administrative and support service activities,The Financial Conduct Authority,
The Financial Conduct Authority,20.9,Public administration and defence; compulsory social security,The Financial Conduct Authority,
The First Federation Trust,47.6,Public Sector,The First Federation Trust,
The First Federation Trust,47.6,Education,The First Federation Trust,
THE GOODWOOD CLUB LIMITED,1,"Arts, entertainment and recreation",The Goodwood Club,
THE GOODWOOD HOTEL LIMITED,-2,Accommodation and food service activities,The Goodwood Hotel,
The Gorse Academies Trust,18.7,Public Sector,The Gorse Academies Trust,
The Gorse Academies Trust,18.7,Education,The Gorse Academies Trust,
THE GRAND CENTRAL HOTEL GLASGOW LIMITED,1,Accommodation and food service activities,The Grand Central Hotel Glasgow,
The Greenacre Academy Trust,43,Public Sector,The Greenacre Academy Trust,
The Greenacre Academy Trust,43,Education,The Greenacre Academy Trust,
The Healthcare Management Trust,32,Human health and social work activities,The Healthcare Management Trust,
The Heath Family (North West),35.7,Public Sector,The Heath Family (north West),
The Heath Family (North West),35.7,Education,The Heath Family (north West),
The Heritage Automotive Ltd.,5.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,The Heritage Automotive,
The Independent Police Complaints Commission,1.9,Public Sector,The Independent Police Complaints Commission,
The Independent Police Complaints Commission,1.9,Public administration and defence; compulsory social security,The Independent Police Complaints Commission,
The Information Commissioner's Office,0.2,Public Sector,The Information Commissioner's Office,
The Jo Richardson Community School,29.3,Public Sector,The Jo Richardson Community School,
The Jo Richardson Community School,29.3,Education,The Jo Richardson Community School,
THE JPM GROUP COMPANIES LTD,1.2,Administrative and support service activities,The Jpm Group Companies,
"THE KENT, SURREY AND SUSSEX COMMUNITY REHABILITATION COMPANY LIMITED",2,Public administration and defence; compulsory social security,"The Kent, Surrey And Sussex Community Rehabilitation Company",
The King Edmund School,45,Public Sector,The King Edmund School,
The King Edmund School,45,Education,The King Edmund School,
The Lady Eleanor Holles School,-3.7,Education,The Lady Eleanor Holles School,
THE LANCASTER LANDMARK HOTEL COMPANY LIMITED,-0.5,Accommodation and food service activities,The Lancaster Landmark Hotel Company,
The Langley Academy Trust,37,Public Sector,The Langley Academy Trust,
The Langley Academy Trust,37,Education,The Langley Academy Trust,
The Learning Academy Trust,42.4,Public Sector,The Learning Academy Trust,
The Learning Academy Trust,42.4,Education,The Learning Academy Trust,
The London Borough Of Lewisham,-15.8,Public Sector,The London Borough Of Lewisham,
The London Borough Of Lewisham,-15.8,Public administration and defence; compulsory social security,The London Borough Of Lewisham,
The Manchester College,7.2,Public Sector,The Manchester College,
The Manchester College,7.2,Education,The Manchester College,
THE MEDICAL PROTECTION SOCIETY LIMITED,29.5,Other service activities,The Medical Protection Society,
The Midland Academies Trust,29,Public Sector,The Midland Academies Trust,
The Midland Academies Trust,29,Education,The Midland Academies Trust,
The Mirfield Free Grammar And Sixth Form Multi-Academy Trust,32.9,Public Sector,The Mirfield Free Grammar And Sixth Form Multi-academy Trust,
The Mirfield Free Grammar And Sixth Form Multi-Academy Trust,32.9,Education,The Mirfield Free Grammar And Sixth Form Multi-academy Trust,
The National Archives,-2,Public Sector,The National Archives,
The National Archives,-2,Transportation and storage,The National Archives,
The National Assembly for Wales Commission (Comisiwn Cynulliad Cenedlaethol Cymru),-23.3,Public Sector,The National Assembly For Wales Commission (comisiwn Cynulliad Cenedlaethol Cymru),
The National Crime Agency,16.2,Public Sector,The National Crime Agency,
The National Crime Agency,16.2,Public administration and defence; compulsory social security,The National Crime Agency,
The National Gallery,15.2,"Arts, entertainment and recreation",The National Gallery,
The National Maritime Museum,-0.5,"Arts, entertainment and recreation",The National Maritime Museum,
The National Trust For Places of Historic Interest or Natural Beauty,14.4,"Arts, entertainment and recreation",The National Trust For Places Of Historic Interest Or Natural Beauty,
THE NATURAL POWER CONSULTANTS LIMITED,28,"Professional, scientific and technical activities",The Natural Power Consultants,
THE NEW FIELDWORK COMPANY (INTERVIEWING) LIMITED,0,"Professional, scientific and technical activities",The New Fieldwork Company (interviewing),
THE NEW FOREST FRUIT COMPANY LIMITED,-4.4,"Agriculture, Forestry and Fishing",The New Forest Fruit Company,
The Newman Catholic Collegiate,11.1,Public Sector,The Newman Catholic Collegiate,
The Newman Catholic Collegiate,11.1,Education,The Newman Catholic Collegiate,
THE NORTHVIEW GROUP LIMITED,27.2,"Professional, scientific and technical activities",The Northview Group,
The Office for Nuclear Regulation,55.3,Public Sector,The Office For Nuclear Regulation,
The Open University,14.9,Public Sector,The Open University,
THE ORIGINAL BOWLING COMPANY LIMITED,4.8,"Arts, entertainment and recreation",The Original Bowling Company,
The Outward Bound Trust,-3,Education,The Outward Bound Trust,
The Pioneer Academy,36.9,Public Sector,The Pioneer Academy,
The Pioneer Academy,36.9,Education,The Pioneer Academy,
The Pirbright Institute,15.1,"Professional, scientific and technical activities",The Pirbright Institute,
THE PRESS ASSOCIATION LIMITED,0.5,Other service activities,The Press Association,
THE PRINCIPAL MANCHESTER LIMITED,6.9,Accommodation and food service activities,The Principal Manchester,
The Quality Furniture Co. Ltd.,-12.9,Manufacturing,The Quality Furniture Co.,
The Retreat York,0,Human health and social work activities,The Retreat York,
The Rowan Learning Trust,35.9,Public Sector,The Rowan Learning Trust,
The Rowan Learning Trust,35.9,Education,The Rowan Learning Trust,
THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY,36.5,Financial and insurance activities,The Royal Bank Of Scotland Public  Company,
The Royal Hosptal Chelsea,5.8,Public Sector,The Royal Hosptal Chelsea,
THE ROYAL MASONIC BENEVOLENT INSTITUTION CARE COMPANY,0.1,Human health and social work activities,The Royal Masonic Benevolent Institution Care Company,
The Sandwell Community Caring Trust,5,Human health and social work activities,The Sandwell Community Caring Trust,
THE SAVOY HOTEL LIMITED,3.3,Accommodation and food service activities,The Savoy Hotel,
The Shared Learning Trust,30,Public Sector,The Shared Learning Trust,
The Shared Learning Trust,30,Education,The Shared Learning Trust,
THE SHROPSHIRE DOCTORS' CO-OPERATIVE LIMITED,-10,Human health and social work activities,The Shropshire Doctors' Co-operative,
THE SLOUGH AND EAST BERKSHIRE C OF E MULTI ACADEMY TRUST,40,Education,The Slough And East Berkshire C Of E Multi Academy Trust,
THE SOCIETY OF ST JAMES,4,Human health and social work activities,The Society Of St James,
The South Downs College,20.1,Public Sector,The South Downs College,
The South Downs College,20.1,Education,The South Downs College,
The Southfield Grange Trust,34.6,Public Sector,The Southfield Grange Trust,
The Southfield Grange Trust,34.6,Education,The Southfield Grange Trust,
The St Neots Learning Partnership,23.8,Public Sector,The St Neots Learning Partnership,
The St Neots Learning Partnership,23.8,Education,The St Neots Learning Partnership,
THE STEPHEN PERSE FOUNDATION,2,Education,The Stephen Perse Foundation,
The Stour Academy Trust,36.1,Public Sector,The Stour Academy Trust,
The Stour Academy Trust,36.1,Education,The Stour Academy Trust,
The Ted Wragg Multi Academy Trust,29.6,Public Sector,The Ted Wragg Multi Academy Trust,
The Ted Wragg Multi Academy Trust,29.6,Education,The Ted Wragg Multi Academy Trust,
The Thomas Hardye Multi Academy Trust,34.6,Public Sector,The Thomas Hardye Multi Academy Trust,
The Thomas Hardye Multi Academy Trust,34.6,Education,The Thomas Hardye Multi Academy Trust,
The Together Trust,11.9,Education,The Together Trust,
The Together Trust,11.9,Human health and social work activities,The Together Trust,
THE TRAVEL COMPANY LIMITED,12,Administrative and support service activities,The Travel Company,
The Two Counties Trust,22.1,Public Sector,The Two Counties Trust,
The Two Counties Trust,22.1,Education,The Two Counties Trust,
The University of Lincoln,7.1,Public Sector,The University Of Lincoln,
The University Of Manchester,13.1,Public Sector,The University Of Manchester,
The University Of Manchester,13.1,Education,The University Of Manchester,
The University of Northampton,15.3,Public Sector,The University Of Northampton,
The University of Salford,21,Public Sector,The University Of Salford,
The University Of Westminster,5.1,Public Sector,The University Of Westminster,
The University Of Westminster,5.1,"Professional, scientific and technical activities",The University Of Westminster,
The University Of Westminster,5.1,Education,The University Of Westminster,
The Village Academy,9,Public Sector,The Village Academy,
The Village Academy,9,Education,The Village Academy,
The Wales Community Rehabilitation Co. Ltd.,17,Public administration and defence; compulsory social security,The Wales Community Rehabilitation Co.,
The Wensum Trust,35.7,Public Sector,The Wensum Trust,
The Wensum Trust,35.7,Education,The Wensum Trust,
The Wilf Ward Family Trust,-0.6,Human health and social work activities,The Wilf Ward Family Trust,
THE WILKINS GROUP LIMITED,26.8,Administrative and support service activities,The Wilkins Group,
THE WORKSHOP (WISBECH) LIMITED,0,Administrative and support service activities,The Workshop (wisbech),
THE WREKIN HOUSING TRUST LIMITED,1.8,Real estate activities,The Wrekin Housing Trust,
THIRD BRIDGE GROUP LIMITED,22.8,"Professional, scientific and technical activities",Third Bridge Group,
THIRD BRIDGE GROUP LIMITED,22.8,Administrative and support service activities,Third Bridge Group,
THOMAS DEACON EDUCATION TRUST,44.6,Public Sector,Thomas Deacon Education Trust,
THOMAS DEACON EDUCATION TRUST,44.6,Education,Thomas Deacon Education Trust,
THOMAS SANDERSON LIMITED,-4.6,Manufacturing,Thomas Sanderson,
THOMPSON AND CAPPER LIMITED,9.1,Manufacturing,Thompson And Capper,
THOMSON AIRWAYS LIMITED,47.3,"Professional, scientific and technical activities",Thomson Airways,
THORLEY TAVERNS LIMITED,7.4,Accommodation and food service activities,Thorley Taverns,
"THOUGHTWORKS, LTD",19.3,Information and communication,"Thoughtworks,",
THREADNEEDLE MANAGEMENT SERVICES LIMITED,25.4,Administrative and support service activities,Threadneedle Management Services,
Three Rivers District Council,-42,Public Sector,Three Rivers District Council,
Three Rivers District Council,-42,Public administration and defence; compulsory social security,Three Rivers District Council,
THYSSENKRUPP ELEVATOR UK LIMITED,17,Manufacturing,Thyssenkrupp Elevator Uk,
TIGER U.K. (MIDLANDS) LIMITED,6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tiger U.k. (midlands),
TILLERY VALLEY FOODS LIMITED,3.2,Manufacturing,Tillery Valley Foods,
TIMEWELL PROPERTIES LIMITED,15.3,Accommodation and food service activities,Timewell Properties,
TITHEGROVE LIMITED,4.8,Construction,Tithegrove,
TLC (CAR CARE) LIMITED,1.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tlc (car Care),
